지역,Area,confirmed_daily,confirmed_cumul,long,lat,area_total_km2
경기,Gyeonggi," 6,134 "," 6,701,806 ",127.25,37.5," 10,195 "
서울,Seoul," 4,308 "," 4,863,862 ",126.97806,37.56667, 605 
경남,Gyeongsangnam-do," 1,227 "," 1,504,672 ",128.25,35.25," 10,541 "
부산,Busan," 1,052 "," 1,480,545 ",129.07556,35.17944, 770 
인천,Incheon," 1,300 "," 1,437,430 ",126.70528,37.45639," 1,065 "
경북,Gyeongsangbuk-do," 1,285 "," 1,130,593 ",128.8889,36.4919," 19,034 "
대구,Daegu," 1,469 "," 1,088,032 ",128.6025,35.87222, 883 
충남,Chungcheongnam-do, 805 ," 1,004,428 ",126.8,36.5184," 8,246 "
전북,Jeollanam-do, 695 ," 845,136 ",127.153,35.7175," 8,070 "
전남,Jeollabuk-do, 565 ," 827,758 ",126.991,34.8679," 12,348 "
충북,Chungcheongbuk-do, 777 ," 780,742 ",127.7,36.8," 7,407 "
광주,Gwangju, 521 ," 734,469 ",126.85306,35.15972, 501 
강원,Gangwon, 800 ," 732,041 ",128.1555,37.8228," 16,830 "
대전,Daejeon, 598 ," 722,427 ",127.385,36.35111, 540 
울산,Ulsan, 353 ," 535,433 ",129.31667,35.53889," 1,062 "
제주,Jeju, 179 ," 335,014 ",126.5312,33.4996," 1,850 "